"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-01",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-02",,,,,"0.41",",,N","0.1",",,N","0.0","T,,N","0.0","T,,N",,
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-03",,,,,"0.00","T,,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-04",,,,,"0.23",",,N","2.0",",,N","2.0",",,N","0.2",",,N","0.2",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-05",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-06",,,,,"0.00","T,,N","0.0","T,,N","0.0",",,N","0.0",",,N","0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-07",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-08",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-09",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-10",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-11",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-12",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-13",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-14",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-15",,,,,"0.00","T,,N","0.0","T,,N","0.0",",,N","0.0",",,N","0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-16",,,,,"0.56",",,N","0.2",",,N","0.0","T,,N",,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-17",,,,,"0.16",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-18",,,,,"0.00","T,,N","0.0","T,,N","0.0",",,N","0.0",",,N","0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-19",,,,,"0.00","T,,N","0.0","T,,N","0.0",",,N","0.0",",,N","0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-20",,,,,"0.00","T,,N","0.0","T,,N","0.0","T,,N","0.0","T,,N","0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-21",,,,,"0.00","T,,N","0.0","T,,N","0.0",",,N","0.0",",,N","0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-22",,,,,"0.00","T,,N","0.0","T,,N","0.0",",,N","0.0",",,N","0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-23",,,,,"0.00","T,,N","0.0","T,,N","0.0",",,N","0.0",",,N","0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-24",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-25",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-26",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-27",,,,,"0.43",",,N","2.8",",,N","2.5",",,N","0.4",",,N","0.4",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-28",,,,,"0.00",",,N","0.0",",,N","2.0",",,N",,,"0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-29",,,,,"0.00",",,N","0.0",",,N","1.5",",,N",,,"0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-30",,,,,"0.00",",,N","0.0",",,N","1.5",",,N",,,"0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-01-31",,,,,"0.00",",,N","0.0",",,N","1.5",",,N",,,"0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-01",,,,,"0.18",",,N","2.2",",,N","3.0",",,N",,,"0.2",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-02",,,,,"1.22",",,N","14.2",",,N","19.0",",,N",,,"1.2",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-03",,,,,"0.05",",,N","0.5",",,N","19.0",",,N",,,"0.1",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-04",,,,,"0.00","T,,N","0.0","T,,N","18.0",",,N",,,"0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-05",,,,,"0.01",",,N","0.1",",,N","16.0",",,N",,,"0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-06",,,,,"0.00","T,,N","0.0","T,,N",,,,,"0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-07",,,,,"0.00",",,N","0.0",",,N",,,,,"0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-08",,,,,"0.02",",,N","0.0","T,,N","10.5",",,N","1.9",",,N","0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-09",,,,,"0.05",",,N","0.5",",,N","11.5",",,N",,,"0.1",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-10",,,,,"0.29",",,N","3.0",",,N","14.0",",,N",,,"0.3",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-11",,,,,"0.02",",,N","0.1",",,N","14.0",",,N",,,"0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-12",,,,,"0.00","T,,N","0.0","T,,N",,,,,"0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-13",,,,,"0.00",",,N","0.0",",,N",,,,,"0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-14",,,,,"0.00",",,N","0.0",",,N",,,,,"0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-15",,,,,"0.00","T,,N","0.0","T,,N",,,,,"0.0","T,,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-16",,,,,"0.78",",,N","0.1",",,N",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-17",,,,,"0.00","T,,N","0.0",",,N",,,,,"0.0",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-18",,,,,"0.05",",,N","0.5",",,N",,,,,"0.1",",,N"
"US1NYUL0031","HURLEY 2.2 S, NY US","41.881496","-74.056262","50.0","2021-02-20","    2",",,N","0.33",",,N",,,,,"3.9",",,N","0.3",",,N",,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-01",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-02",,,,,"0.40",",,N",,,"0.1",",,N",,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-03",,,,,"0.00","T,,N",,,,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-04",,,,,"0.24",",,N","3.3",",,N","3.0",",,N",,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-05",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-06",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-07",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-08",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-09",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-10",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-11",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-12",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-13",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-14",,,,,"0.00","T,,N","0.0","T,,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-15",,,,,"0.02",",,N","0.1",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-16",,,,,"0.69",",,N",,,,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-17",,,,,"0.08",",,N",,,,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-18",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-19",,,,,"0.00","T,,N","0.0","T,,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-20",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-21",,,,,"0.00","T,,N","0.0","T,,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-22",,,,,"0.00","T,,N","0.0","T,,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-23",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-24",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-25",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-26",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-27",,,,,"0.36",",,N","3.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-28",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-29",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-30",,,,,"0.00","T,,N","0.0","T,,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-01-31",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-01",,,,,"0.11",",,N","1.7",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-02",,,,,"1.47",",,N","17.7",",,N",,,,,"1.5",",,N"
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-03",,,,,"0.03",",,N","0.3",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-04",,,,,"0.00","T,,N","0.0","T,,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-05",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-06",,,,,"0.00","T,,N","0.0","T,,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-07",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-08",,,,,"0.05",",,N","0.8",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-09",,,,,"0.04",",,N","0.4",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-10",,,,,"0.27",",,N","4.1",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-11",,,,,"0.00","T,,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-12",,,,,"0.00","T,,N","0.0","T,,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-13",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-14",,,,,"0.00","T,,N","0.0","T,,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-16",,,,,"0.71",",,N","0.3",",,N",,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-17",,,,,"0.00","T,,N",,,,,,,,
"US1NYUL0032","ESOPUS 0.8 NNE, NY US","41.838544","-73.958758","49.4","2021-02-18",,,,,"0.04",",,N","0.5",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-01",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-02",,,,,"0.33",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-03",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-04",,,,,"0.50",",,N","5.0",",,N","5.0",",,N","0.5",",,N","0.5",",,N"
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-05",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-06",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-07",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-08",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-09",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-10",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-11",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-12",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-13",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-14",,,,,"0.03",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-15",,,,,"0.00","T,,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-16",,,,,"0.77",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-17",,,,,"0.05",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-18",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-19",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-20",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-21",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-22",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-23",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-24",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-25",,,,,"0.00",",,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-26",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-27",,,,,"0.47",",,N","2.8",",,N","2.8",",,N","0.5",",,N","0.5",",,N"
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-28",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-29",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-30",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-01-31",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-01",,,,,"0.16",",,N","1.7",",,N",,,,,"0.2",",,N"
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-02",,,,,"2.47",",,N","18.0",",,N",,,,,"2.5",",,N"
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-03",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-04",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-05",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-06",,,,,"0.00","T,,N",,,,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-07",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-08",,,,,"0.02",",,N","1.3",",,N",,,,,"0.0",",,N"
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-09",,,,,,,"1.5",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-10",,,,,,,"5.0",",,N",,,,,,
"US1NYUL0034","WALLKILL 3.7 E, NY US","41.6184","-74.0938","170.7","2021-02-11",,,,,,,"1.0",",,N",,,,,,
