-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data,,,,,,,,,,,
Dates (month/day/year): 08/01/2020 through 02/25/2021,,,,,,,,,,,
Location: Latitude  41.7745   Longitude -74.2773,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 339.04 meters   Site = na,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov),,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999,,,,,,,,,,,
Parameter(s):,,,,,,,,,,,
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C),,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C),,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C),,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C),,,,,,,,,,,
TS MERRA2 1/2x1/2 Earth Skin Temperature (C),,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C),,,,,,,,,,,
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C),,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
41.77451,-74.27729,2020,8,1,14.37,24.58,15.59,15.42,31.2,16.83,24.66
41.77451,-74.27729,2020,8,2,8.73,24.33,20.65,20.57,28.83,20.11,24.3
41.77451,-74.27729,2020,8,3,10.66,24.39,16.23,16.03,30.16,19.5,24.56
41.77451,-74.27729,2020,8,4,5.2,21.13,20.19,20.17,23.65,18.45,21.14
41.77451,-74.27729,2020,8,5,10.1,20.91,16.51,16.4,26.28,16.19,21.01
41.77451,-74.27729,2020,8,6,11.38,20.01,15.5,15.33,25.66,14.28,20.36
41.77451,-74.27729,2020,8,7,8.03,19.69,16.74,16.63,24.33,16.29,19.86
41.77451,-74.27729,2020,8,8,10.34,22.15,17.94,17.84,27.47,17.13,22.21
41.77451,-74.27729,2020,8,9,12.16,22.61,17.75,17.66,28.64,16.47,22.58
41.77451,-74.27729,2020,8,10,13.19,24.55,19.46,19.31,31.04,17.86,24.61
41.77451,-74.27729,2020,8,11,11.73,24.97,20.16,20.04,30.85,19.12,24.94
41.77451,-74.27729,2020,8,12,10.29,24.02,19.35,19.2,29.43,19.14,24.04
41.77451,-74.27729,2020,8,13,9.24,21.49,17.07,16.98,26.65,17.41,21.86
41.77451,-74.27729,2020,8,14,11.51,22.54,16.27,16.15,28.63,17.12,22.54
41.77451,-74.27729,2020,8,15,10.21,21.89,15.21,15.06,27.59,17.37,21.86
41.77451,-74.27729,2020,8,16,7.08,18.7,15.64,15.61,22.55,15.47,18.66
41.77451,-74.27729,2020,8,17,12.15,19.56,16.17,16.06,25.81,13.66,19.78
41.77451,-74.27729,2020,8,18,11.51,19.61,14.28,14.15,25.96,14.45,19.86
41.77451,-74.27729,2020,8,19,10.12,18.37,12.81,12.71,23.43,13.31,18.39
41.77451,-74.27729,2020,8,20,14.45,17.77,9.89,9.8,25.21,10.77,17.99
41.77451,-74.27729,2020,8,21,15.71,21.25,14.51,14.32,29.14,13.43,21.32
41.77451,-74.27729,2020,8,22,14.29,23.36,16.1,15.94,31.27,16.98,24.09
41.77451,-74.27729,2020,8,23,11.41,23.57,17.65,17.52,30.32,18.9,24.26
41.77451,-74.27729,2020,8,24,13.47,24.4,17.88,17.75,31.33,17.86,24.41
41.77451,-74.27729,2020,8,25,11.96,23.26,17.4,17.15,29.68,17.71,23.26
41.77451,-74.27729,2020,8,26,9.36,17.82,8.91,8.62,22.99,13.63,17.8
41.77451,-74.27729,2020,8,27,15.17,21.45,18.03,17.77,30.1,14.93,21.43
41.77451,-74.27729,2020,8,28,9.46,21.85,17.58,17.45,27.24,17.78,21.98
41.77451,-74.27729,2020,8,29,9.56,22.55,19.98,19.93,27.96,18.41,22.54
41.77451,-74.27729,2020,8,30,11.58,18.17,11.62,11.52,23.46,11.88,18.16
41.77451,-74.27729,2020,8,31,11.73,16.35,10.97,10.83,22.14,10.41,16.34
41.77451,-74.27729,2020,9,1,9.48,18.42,15.67,15.65,22.83,13.34,18.38
41.77451,-74.27729,2020,9,2,7.6,20.22,19.37,19.25,23.92,16.32,20.18
41.77451,-74.27729,2020,9,3,8.6,21.85,17.09,16.72,27,18.4,21.87
41.77451,-74.27729,2020,9,4,11.75,19.8,14.77,14.41,25.66,13.91,19.93
41.77451,-74.27729,2020,9,5,13.49,17.04,9.61,9.46,23.73,10.24,17.08
41.77451,-74.27729,2020,9,6,13.46,18.3,12.99,12.86,25.07,11.61,18.47
41.77451,-74.27729,2020,9,7,11.49,19.51,13.72,13.58,26.01,14.53,19.49
41.77451,-74.27729,2020,9,8,14.74,20.52,14.27,14.12,28.89,14.15,20.7
41.77451,-74.27729,2020,9,9,13.71,21.18,15.76,15.6,29.37,15.66,21.49
41.77451,-74.27729,2020,9,10,10.45,21.95,19.55,19.44,27.7,17.25,22.31
41.77451,-74.27729,2020,9,11,12.08,17.62,12.96,12.47,22.66,10.58,17.62
41.77451,-74.27729,2020,9,12,14.06,14.68,7.84,7.74,22.05,7.99,14.62
41.77451,-74.27729,2020,9,13,14.41,17.94,13.12,12.96,24.75,10.35,17.92
41.77451,-74.27729,2020,9,14,12.45,16.94,10.68,10.06,22.41,9.96,16.95
41.77451,-74.27729,2020,9,15,13.29,12.24,3.71,3.64,19.52,6.23,12.29
41.77451,-74.27729,2020,9,16,14.25,13.9,7.66,7.44,21.3,7.05,13.84
41.77451,-74.27729,2020,9,17,13.52,16.12,11.31,11.23,23.56,10.04,16.33
41.77451,-74.27729,2020,9,18,11.98,13.78,6.37,5.82,19.58,7.6,13.77
41.77451,-74.27729,2020,9,19,12.09,9.29,-1.73,-1.61,16.04,3.95,9.23
41.77451,-74.27729,2020,9,20,11.15,8.71,-2,-1.9,15.5,4.34,8.74
41.77451,-74.27729,2020,9,21,15.95,8.9,-1.13,-1.02,17.96,2.01,9.43
41.77451,-74.27729,2020,9,22,16.68,12.01,1.51,1.44,20.17,3.49,11.97
41.77451,-74.27729,2020,9,23,14.9,16.16,9.84,9.7,24.41,9.51,16.17
41.77451,-74.27729,2020,9,24,12.02,15.92,11.21,11.12,22.76,10.74,16.22
41.77451,-74.27729,2020,9,25,15.85,18.53,12.35,12.27,27.32,11.46,18.64
41.77451,-74.27729,2020,9,26,12.01,17.52,14.22,14.05,23.95,11.93,18.1
41.77451,-74.27729,2020,9,27,12.13,19.79,16.63,16.58,26.26,14.13,19.9
41.77451,-74.27729,2020,9,28,7.79,20.32,17.21,17.16,24.64,16.85,20.33
41.77451,-74.27729,2020,9,29,9.39,20.02,17.42,17.4,25.57,16.18,20
41.77451,-74.27729,2020,9,30,7.46,15.56,11.55,11,18.77,11.31,15.56
41.77451,-74.27729,2020,10,1,11.16,13.84,8.12,7.97,20.48,9.32,14
41.77451,-74.27729,2020,10,2,9.05,11.01,6.68,6.62,16.56,7.52,11.09
41.77451,-74.27729,2020,10,3,11.31,10.26,5.13,5.03,17.03,5.72,10.35
41.77451,-74.27729,2020,10,4,12.62,10.12,4.75,4.68,17.24,4.62,10.43
41.77451,-74.27729,2020,10,5,12.36,11.65,7.55,7.41,18.87,6.51,12.43
41.77451,-74.27729,2020,10,6,11.54,12.22,7.72,7.63,18.78,7.24,12.53
41.77451,-74.27729,2020,10,7,11.47,14.37,8.71,8.59,20.83,9.36,14.35
41.77451,-74.27729,2020,10,8,8.97,10.52,3.23,3.16,14.77,5.8,10.53
41.77451,-74.27729,2020,10,9,12.98,11.57,5.8,5.73,18.61,5.63,11.6
41.77451,-74.27729,2020,10,10,15.43,16.18,10.99,10.7,24.09,8.66,16.14
41.77451,-74.27729,2020,10,11,5.99,12.84,7.15,6.7,16.13,10.14,12.86
41.77451,-74.27729,2020,10,12,4.98,9.09,5.79,5.75,11.7,6.72,9.04
41.77451,-74.27729,2020,10,13,7.03,10.56,9.46,9.4,14.58,7.55,10.52
41.77451,-74.27729,2020,10,14,13.91,11.02,5.27,5.2,19.7,5.79,11.92
41.77451,-74.27729,2020,10,15,14.1,14.17,9.32,9.15,21.55,7.45,14.15
41.77451,-74.27729,2020,10,16,8.36,10.3,9.07,8.84,13.33,4.96,10.34
41.77451,-74.27729,2020,10,17,11.35,6.13,0.42,0.24,13.77,2.41,7.56
41.77451,-74.27729,2020,10,18,13.32,7.71,3.04,2.62,15.13,1.81,8.74
41.77451,-74.27729,2020,10,19,9.5,11.4,9.12,9.11,16.55,7.05,11.45
41.77451,-74.27729,2020,10,20,10.82,14.59,13.01,12.96,21.53,10.71,15.09
41.77451,-74.27729,2020,10,21,11.25,15.89,14.42,14.38,22.75,11.51,16.16
41.77451,-74.27729,2020,10,22,12.41,16.73,14.51,14.48,23.95,11.54,16.84
41.77451,-74.27729,2020,10,23,9.02,16.84,14.27,14.28,22.47,13.46,16.86
41.77451,-74.27729,2020,10,24,14.09,11.93,8.89,8.15,17.71,3.62,11.95
41.77451,-74.27729,2020,10,25,9.31,5.44,-0.89,-0.94,10.53,1.22,5.36
41.77451,-74.27729,2020,10,26,7.15,8.57,8.21,7.97,12.05,4.9,8.51
41.77451,-74.27729,2020,10,27,8.39,8.98,5.39,5.25,14.31,5.92,9.07
41.77451,-74.27729,2020,10,28,5.56,7.38,6.52,6.5,11.39,5.83,7.6
41.77451,-74.27729,2020,10,29,4.02,5.09,4.33,4.33,7.03,3.01,5.41
41.77451,-74.27729,2020,10,30,8.86,0.03,-0.81,-0.89,3.41,-5.45,0.2
41.77451,-74.27729,2020,10,31,12.27,-2.4,-5.63,-5.47,5.23,-7.03,-1.97
41.77451,-74.27729,2020,11,1,11.73,2.46,1.77,1.29,7.68,-4.05,2.44
41.77451,-74.27729,2020,11,2,2.59,0.38,-5.43,-5.31,2.07,-0.52,0.31
41.77451,-74.27729,2020,11,3,8.92,2.01,-3,-3.03,6.69,-2.23,2.21
41.77451,-74.27729,2020,11,4,16.86,4.72,2.19,1.6,14,-2.86,4.8
41.77451,-74.27729,2020,11,5,12.27,9.97,7.51,7.42,17.01,4.74,9.96
41.77451,-74.27729,2020,11,6,11.48,11.84,8.69,8.65,19.37,7.89,11.86
41.77451,-74.27729,2020,11,7,14.03,12.01,8.04,7.94,21.17,7.14,12.16
41.77451,-74.27729,2020,11,8,17.4,11.66,6.04,5.89,23.27,5.88,13.6
41.77451,-74.27729,2020,11,9,15.08,11.44,6.48,6.16,22.82,7.74,12.96
41.77451,-74.27729,2020,11,10,12.29,14.21,13.1,13.03,20.97,8.68,14.24
41.77451,-74.27729,2020,11,11,6.25,16.18,15.93,15.89,19.41,13.16,16.2
41.77451,-74.27729,2020,11,12,12.08,7.75,6.15,5.46,15.1,3.02,7.8
41.77451,-74.27729,2020,11,13,5.58,4.04,3.15,3.1,7.84,2.26,4.13
41.77451,-74.27729,2020,11,14,9.63,2.67,-0.67,-0.76,8.11,-1.52,2.9
41.77451,-74.27729,2020,11,15,14.43,4.58,3.09,2.19,12.05,-2.38,4.86
41.77451,-74.27729,2020,11,16,8.58,4.13,-0.94,-0.97,7.92,-0.66,4.14
41.77451,-74.27729,2020,11,17,7.23,0.15,-2.28,-2.3,4.4,-2.82,0.17
41.77451,-74.27729,2020,11,18,4.68,-3.86,-10.13,-9.45,-1.04,-5.72,-3.8
41.77451,-74.27729,2020,11,19,9.87,-0.52,-4.36,-4.46,4.71,-5.16,-0.54
41.77451,-74.27729,2020,11,20,12.69,6.35,4.03,3.84,13.52,0.83,6.31
41.77451,-74.27729,2020,11,21,11.18,6.36,3.5,3.31,11.59,0.41,6.41
41.77451,-74.27729,2020,11,22,9.98,2.45,1.46,1.07,7.76,-2.22,2.4
41.77451,-74.27729,2020,11,23,10.58,5.4,3.83,2.96,10.82,0.24,5.44
41.77451,-74.27729,2020,11,24,6.52,0.94,-2.5,-2.51,5.36,-1.16,1.12
41.77451,-74.27729,2020,11,25,7.39,3.3,1.65,1.48,6.67,-0.71,3.27
41.77451,-74.27729,2020,11,26,9.68,9.57,9.24,9.14,14.96,5.28,9.61
41.77451,-74.27729,2020,11,27,7.72,7.03,5.73,5.74,11.99,4.27,7.27
41.77451,-74.27729,2020,11,28,10.16,3.09,1.65,1.55,8.63,-1.53,3.58
41.77451,-74.27729,2020,11,29,12.73,1.81,-1.51,-1.55,9.84,-2.89,1.89
41.77451,-74.27729,2020,11,30,15.33,8.67,8.63,8.43,15.8,0.48,8.63
41.77451,-74.27729,2020,12,1,13.06,5.65,4.42,3.77,12.08,-0.98,5.71
41.77451,-74.27729,2020,12,2,4.8,-0.43,-3.25,-3.15,2.16,-2.63,-0.47
41.77451,-74.27729,2020,12,3,10.72,0.66,-2.38,-2.36,6.94,-3.79,0.62
41.77451,-74.27729,2020,12,4,8.53,4.36,1.83,1.75,9.43,0.9,4.34
41.77451,-74.27729,2020,12,5,4.62,2.24,0.89,0.8,3.6,-1.02,2.27
41.77451,-74.27729,2020,12,6,4.22,-2.32,-6.77,-6.47,0.27,-3.96,-2.36
41.77451,-74.27729,2020,12,7,6.72,-2.84,-6.61,-6.31,1.77,-4.95,-2.85
41.77451,-74.27729,2020,12,8,4.13,-3.9,-7.64,-7.25,-1.09,-5.22,-3.95
41.77451,-74.27729,2020,12,9,4.25,-2.03,-3.32,-3.23,-0.06,-4.31,-2.06
41.77451,-74.27729,2020,12,10,7.26,-0.11,-1.02,-0.98,5.05,-2.21,0.3
41.77451,-74.27729,2020,12,11,9.3,0.69,0.95,1.07,6.22,-3.08,0.95
41.77451,-74.27729,2020,12,12,4.41,2.82,3.09,3.5,5.18,0.77,3.09
41.77451,-74.27729,2020,12,13,10.16,4.01,3.69,3.51,7.95,-2.21,4.08
41.77451,-74.27729,2020,12,14,4.31,-1.02,-2.08,-2.06,1.19,-3.12,-0.87
41.77451,-74.27729,2020,12,15,5.65,-3.51,-8.22,-7.84,-0.49,-6.13,-3.46
41.77451,-74.27729,2020,12,16,3.46,-6.42,-11.36,-10.61,-4.27,-7.74,-6.37
41.77451,-74.27729,2020,12,17,6,-8.49,-9.54,-9.2,-5.99,-11.99,-8.48
41.77451,-74.27729,2020,12,18,10.3,-10.46,-11.54,-11.05,-5.28,-15.58,-10.36
41.77451,-74.27729,2020,12,19,13.78,-12.06,-11.39,-11.45,-4.03,-17.81,-10.32
41.77451,-74.27729,2020,12,20,6.73,-5.7,-5.49,-5.53,-1.52,-8.25,-4.91
41.77451,-74.27729,2020,12,21,6.25,-2.41,-1.99,-2.03,1.69,-4.56,-1.53
41.77451,-74.27729,2020,12,22,4.79,-1.43,-1.77,-1.76,1.03,-3.76,-1.25
41.77451,-74.27729,2020,12,23,8.57,-2.93,-3.83,-3.84,1.52,-7.05,-2.69
41.77451,-74.27729,2020,12,24,13.56,5.77,5.79,5.73,12.3,-1.25,5.79
41.77451,-74.27729,2020,12,25,17.92,7.34,7.48,6.24,14.66,-3.27,7.48
41.77451,-74.27729,2020,12,26,3.7,-4.72,-9.2,-8.66,-2.5,-6.2,-4.78
41.77451,-74.27729,2020,12,27,7.72,-3.78,-6.94,-6.66,0.99,-6.73,-3.8
41.77451,-74.27729,2020,12,28,9.76,-0.03,-0.59,-0.77,5.24,-4.51,-0.01
41.77451,-74.27729,2020,12,29,5.81,-3.44,-6.9,-6.67,-1.39,-7.21,-3.39
41.77451,-74.27729,2020,12,30,6.74,-3.1,-5.86,-5.76,-0.22,-6.96,-3.06
41.77451,-74.27729,2020,12,31,6.36,-0.71,-1.52,-1.61,1.85,-4.51,-0.6
41.77451,-74.27729,2021,1,1,7.42,-2.71,-4.12,-4.02,1.22,-6.2,-2.61
41.77451,-74.27729,2021,1,2,8.02,-0.41,-0.96,-1.02,3.1,-4.92,-0.29
41.77451,-74.27729,2021,1,3,5.86,-2.74,-3.21,-3.21,0.57,-5.29,-2.49
41.77451,-74.27729,2021,1,4,6.18,-2.24,-2.48,-2.47,2.17,-4.01,-1.7
41.77451,-74.27729,2021,1,5,5.82,-2.43,-3.13,-3.08,1.64,-4.18,-2.15
41.77451,-74.27729,2021,1,6,5.11,-3.24,-5.03,-4.84,-0.33,-5.44,-3.21
41.77451,-74.27729,2021,1,7,7.04,-4.46,-6.59,-6.33,-0.35,-7.39,-4.41
41.77451,-74.27729,2021,1,8,8.77,-6.27,-8.5,-8.17,-0.51,-9.27,-6.18
41.77451,-74.27729,2021,1,9,8.55,-7.04,-9.57,-9.29,-3.27,-11.82,-6.97
41.77451,-74.27729,2021,1,10,10.23,-5.71,-7.2,-7.04,0.96,-9.28,-5.51
41.77451,-74.27729,2021,1,11,8.73,-6.11,-6.12,-6.01,-0.49,-9.22,-5.18
41.77451,-74.27729,2021,1,12,7.76,-3.43,-4.68,-4.53,1.83,-5.93,-2.81
41.77451,-74.27729,2021,1,13,8.42,-3.99,-4.1,-4.1,1.29,-7.13,-3
41.77451,-74.27729,2021,1,14,6.04,-0.69,-0.27,-0.29,4.04,-2,0.18
41.77451,-74.27729,2021,1,15,3.5,-0.16,-0.35,-0.35,1.47,-2.03,-0.08
41.77451,-74.27729,2021,1,16,4,0.13,-0.38,-0.37,2.12,-1.88,0.18
41.77451,-74.27729,2021,1,17,4.61,-0.94,-2.14,-2.08,1.92,-2.69,-0.86
41.77451,-74.27729,2021,1,18,6.12,-1.63,-2.35,-2.34,1.89,-4.24,-1.54
41.77451,-74.27729,2021,1,19,5.46,-2.54,-3.77,-3.67,0.56,-4.9,-2.38
41.77451,-74.27729,2021,1,20,8.75,-4.85,-6.58,-6.52,-1.21,-9.96,-4.69
41.77451,-74.27729,2021,1,21,10.66,-4.71,-5.78,-5.97,0.78,-9.88,-4.56
41.77451,-74.27729,2021,1,22,6.24,-1.65,-2.88,-2.82,1.73,-4.51,-1.55
41.77451,-74.27729,2021,1,23,4.37,-7.56,-10.78,-10.15,-4.95,-9.33,-7.52
41.77451,-74.27729,2021,1,24,5.85,-9.71,-13.19,-12.24,-6.61,-12.46,-9.69
41.77451,-74.27729,2021,1,25,11.55,-7.75,-9.62,-9.38,-1.68,-13.23,-7.47
41.77451,-74.27729,2021,1,26,6.74,-5.86,-6.74,-6.57,-2.08,-8.82,-5.33
41.77451,-74.27729,2021,1,27,7.96,-4.93,-6.1,-5.95,-1.26,-9.22,-4.77
41.77451,-74.27729,2021,1,28,3.68,-8.97,-11.89,-11.11,-6.53,-10.22,-8.95
41.77451,-74.27729,2021,1,29,5.43,-13.77,-17.29,-15.72,-11.21,-16.63,-13.72
41.77451,-74.27729,2021,1,30,11.76,-13.65,-15.27,-14.42,-6.85,-18.61,-13.13
41.77451,-74.27729,2021,1,31,8.85,-13.22,-14.61,-13.63,-8.99,-17.83,-12.65
41.77451,-74.27729,2021,2,1,6.9,-6.48,-7.21,-6.85,-3.41,-10.31,-6.5
41.77451,-74.27729,2021,2,2,3.96,-4.24,-4.79,-4.49,-3.03,-6.99,-4.19
41.77451,-74.27729,2021,2,3,4.79,-5.08,-5.76,-5.39,-2.32,-7.12,-5.02
41.77451,-74.27729,2021,2,4,8.86,-6.3,-5.8,-5.43,-0.7,-9.56,-5.06
41.77451,-74.27729,2021,2,5,6.93,-3.36,-3.03,-2.81,0.3,-6.63,-2.59
41.77451,-74.27729,2021,2,6,9.45,-6.36,-6.57,-6.22,-0.87,-10.32,-5.88
41.77451,-74.27729,2021,2,7,10.14,-6.96,-7.01,-6.64,-1.95,-12.09,-6.28
41.77451,-74.27729,2021,2,8,12.64,-14.03,-13.96,-13.29,-6.48,-19.12,-12.63
41.77451,-74.27729,2021,2,9,8.52,-8.79,-9.06,-8.69,-3.75,-12.27,-8.32
41.77451,-74.27729,2021,2,10,9.68,-10.51,-11.25,-10.5,-5.43,-15.11,-9.76
41.77451,-74.27729,2021,2,11,10.77,-8.81,-9.75,-9.2,-4.71,-15.49,-8.65
41.77451,-74.27729,2021,2,12,14.85,-14.15,-13.97,-13.34,-6.04,-20.89,-12.72
41.77451,-74.27729,2021,2,13,8.42,-11.43,-12.51,-11.88,-8,-16.42,-11.26
41.77451,-74.27729,2021,2,14,7.57,-6.35,-6.77,-6.44,-1.59,-9.16,-6.1
41.77451,-74.27729,2021,2,15,5.73,-5.04,-5.74,-5.42,-2.55,-8.28,-5.1
41.77451,-74.27729,2021,2,16,9.43,-1.79,-1.86,-1.74,0.66,-8.77,-1.62
41.77451,-74.27729,2021,2,17,7.09,-10.61,-12.02,-11.11,-6.17,-13.26,-10.2
41.77451,-74.27729,2021,2,18,4.9,-7.77,-9.02,-8.4,-5.88,-10.78,-7.78
41.77451,-74.27729,2021,2,19,7.33,-5.99,-6.49,-6.17,-2.13,-9.46,-5.86
41.77451,-74.27729,2021,2,20,5.44,-7.13,-8.21,-7.63,-4.11,-9.55,-7.05
41.77451,-74.27729,2021,2,21,10.78,-10.56,-9.77,-8.98,-3.21,-13.99,-8.19
41.77451,-74.27729,2021,2,22,10.64,-4.53,-4.71,-4.58,-0.83,-11.48,-4.46
41.77451,-74.27729,2021,2,23,6.09,-1.61,-1.76,-1.62,0.36,-5.72,-1.49
41.77451,-74.27729,2021,2,24,-999,-999,-999,-999,-999,-999,-999
41.77451,-74.27729,2021,2,25,-999,-999,-999,-999,-999,-999,-999